year,seed_code,la_code,la_name,school_name,school_type,stage,measure,value,chart_label
2020/21,8342032,200,East Dunbartonshire,Turnbull High School,Secondary,All Stages,Authorised Absence,5.5%,
2020/21,8342032,200,East Dunbartonshire,Turnbull High School,Secondary,All Stages,Temporary Exclusions,c,c
2020/21,8342032,200,East Dunbartonshire,Turnbull High School,Secondary,All Stages,Unauthorised Absence,c,c
2020/21,8342032,200,East Dunbartonshire,Turnbull High School,Secondary,S1,Attendance,c,c
2020/21,8342032,200,East Dunbartonshire,Turnbull High School,Secondary,S1,Authorised Absence,c,c
2020/21,8342032,200,East Dunbartonshire,Turnbull High School,Secondary,S1,Temporary Exclusions,0%,
2020/21,8342032,200,East Dunbartonshire,Turnbull High School,Secondary,S1,Unauthorised Absence,c,c
2020/21,8342032,200,East Dunbartonshire,Turnbull High School,Secondary,S2,Attendance,c,c
2020/21,8342032,200,East Dunbartonshire,Turnbull High School,Secondary,S2,Authorised Absence,6.6%,
2020/21,8342032,200,East Dunbartonshire,Turnbull High School,Secondary,S2,Temporary Exclusions,c,c
2020/21,8342032,200,East Dunbartonshire,Turnbull High School,Secondary,S2,Unauthorised Absence,c,c
2020/21,8342032,200,East Dunbartonshire,Turnbull High School,Secondary,S3,Attendance,c,c
2020/21,8342032,200,East Dunbartonshire,Turnbull High School,Secondary,S3,Authorised Absence,6.4%,
2020/21,8342032,200,East Dunbartonshire,Turnbull High School,Secondary,S3,Temporary Exclusions,c,c
2020/21,8342032,200,East Dunbartonshire,Turnbull High School,Secondary,S3,Unauthorised Absence,c,c
2020/21,8342032,200,East Dunbartonshire,Turnbull High School,Secondary,S4,Attendance,90.5%,
2020/21,8342032,200,East Dunbartonshire,Turnbull High School,Secondary,S4,Authorised Absence,6.5%,
2020/21,8342032,200,East Dunbartonshire,Turnbull High School,Secondary,S4,Temporary Exclusions,0%,
2020/21,8342032,200,East Dunbartonshire,Turnbull High School,Secondary,S4,Unauthorised Absence,3%,
2020/21,8342032,200,East Dunbartonshire,Turnbull High School,Secondary,S5,Attendance,c,c
2020/21,8342032,200,East Dunbartonshire,Turnbull High School,Secondary,S5,Authorised Absence,c,c
2020/21,8342032,200,East Dunbartonshire,Turnbull High School,Secondary,S5,Temporary Exclusions,0%,
2020/21,8342032,200,East Dunbartonshire,Turnbull High School,Secondary,S5,Unauthorised Absence,c,c
2020/21,8342032,200,East Dunbartonshire,Turnbull High School,Secondary,S6,Attendance,c,c
2020/21,8342032,200,East Dunbartonshire,Turnbull High School,Secondary,S6,Authorised Absence,3.6%,
2020/21,8342032,200,East Dunbartonshire,Turnbull High School,Secondary,S6,Temporary Exclusions,0%,
2020/21,8342032,200,East Dunbartonshire,Turnbull High School,Secondary,S6,Unauthorised Absence,c,c
2020/21,8342334,320,North Lanarkshire,Chryston High School,Secondary,All Stages,Attendance,89.4%,
2020/21,8342334,320,North Lanarkshire,Chryston High School,Secondary,All Stages,Authorised Absence,6.7%,
2020/21,8342334,320,North Lanarkshire,Chryston High School,Secondary,All Stages,Temporary Exclusions,0%,
2020/21,8342334,320,North Lanarkshire,Chryston High School,Secondary,All Stages,Unauthorised Absence,3.9%,
2020/21,8342334,320,North Lanarkshire,Chryston High School,Secondary,S1,Attendance,91.9%,
2020/21,8342334,320,North Lanarkshire,Chryston High School,Secondary,S1,Authorised Absence,5.3%,
2020/21,8342334,320,North Lanarkshire,Chryston High School,Secondary,S1,Temporary Exclusions,0%,
2020/21,8342334,320,North Lanarkshire,Chryston High School,Secondary,S1,Unauthorised Absence,2.7%,
2020/21,8342334,320,North Lanarkshire,Chryston High School,Secondary,S2,Attendance,90.4%,
2020/21,8342334,320,North Lanarkshire,Chryston High School,Secondary,S2,Authorised Absence,5.8%,
2020/21,8342334,320,North Lanarkshire,Chryston High School,Secondary,S2,Temporary Exclusions,c,c
2020/21,8342334,320,North Lanarkshire,Chryston High School,Secondary,S2,Unauthorised Absence,c,c
2020/21,8342334,320,North Lanarkshire,Chryston High School,Secondary,S3,Attendance,89%,
2020/21,8342334,320,North Lanarkshire,Chryston High School,Secondary,S3,Authorised Absence,7.8%,
2020/21,8342334,320,North Lanarkshire,Chryston High School,Secondary,S3,Temporary Exclusions,c,c
2020/21,8342334,320,North Lanarkshire,Chryston High School,Secondary,S3,Unauthorised Absence,c,c
2020/21,8342334,320,North Lanarkshire,Chryston High School,Secondary,S4,Attendance,86.9%,
2020/21,8342334,320,North Lanarkshire,Chryston High School,Secondary,S4,Authorised Absence,8.5%,
2020/21,8342334,320,North Lanarkshire,Chryston High School,Secondary,S4,Temporary Exclusions,0%,
2020/21,8342334,320,North Lanarkshire,Chryston High School,Secondary,S4,Unauthorised Absence,4.7%,
2020/21,8342334,320,North Lanarkshire,Chryston High School,Secondary,S5,Attendance,87%,
2020/21,8342334,320,North Lanarkshire,Chryston High School,Secondary,S5,Authorised Absence,8.3%,
2020/21,8342334,320,North Lanarkshire,Chryston High School,Secondary,S5,Temporary Exclusions,0%,
2020/21,8342334,320,North Lanarkshire,Chryston High School,Secondary,S5,Unauthorised Absence,4.7%,
2020/21,8342334,320,North Lanarkshire,Chryston High School,Secondary,S6,Attendance,91.7%,
2020/21,8342334,320,North Lanarkshire,Chryston High School,Secondary,S6,Authorised Absence,3.4%,
2020/21,8342334,320,North Lanarkshire,Chryston High School,Secondary,S6,Temporary Exclusions,0%,
2020/21,8342334,320,North Lanarkshire,Chryston High School,Secondary,S6,Unauthorised Absence,4.9%,
2020/21,8357331,320,North Lanarkshire,Greenfaulds High School,Secondary,All Stages,Attendance,87.2%,
2020/21,8357331,320,North Lanarkshire,Greenfaulds High School,Secondary,All Stages,Authorised Absence,4.7%,
2020/21,8357331,320,North Lanarkshire,Greenfaulds High School,Secondary,All Stages,Temporary Exclusions,0.1%,
2020/21,8357331,320,North Lanarkshire,Greenfaulds High School,Secondary,All Stages,Unauthorised Absence,8.1%,
2020/21,8357331,320,North Lanarkshire,Greenfaulds High School,Secondary,S1,Attendance,92.4%,
2020/21,8357331,320,North Lanarkshire,Greenfaulds High School,Secondary,S1,Authorised Absence,c,c
2020/21,8357331,320,North Lanarkshire,Greenfaulds High School,Secondary,S1,Temporary Exclusions,c,c
2020/21,8357331,320,North Lanarkshire,Greenfaulds High School,Secondary,S1,Unauthorised Absence,c,c
2020/21,8357331,320,North Lanarkshire,Greenfaulds High School,Secondary,S2,Attendance,86.9%,
2020/21,8357331,320,North Lanarkshire,Greenfaulds High School,Secondary,S2,Authorised Absence,6.3%,
2020/21,8357331,320,North Lanarkshire,Greenfaulds High School,Secondary,S2,Temporary Exclusions,0.1%,
2020/21,8357331,320,North Lanarkshire,Greenfaulds High School,Secondary,S2,Unauthorised Absence,6.7%,
2020/21,8357331,320,North Lanarkshire,Greenfaulds High School,Secondary,S3,Attendance,87.8%,
2020/21,8357331,320,North Lanarkshire,Greenfaulds High School,Secondary,S3,Authorised Absence,c,c
2020/21,8357331,320,North Lanarkshire,Greenfaulds High School,Secondary,S3,Temporary Exclusions,c,c
2020/21,8357331,320,North Lanarkshire,Greenfaulds High School,Secondary,S3,Unauthorised Absence,c,c
2020/21,8357331,320,North Lanarkshire,Greenfaulds High School,Secondary,S4,Attendance,85.3%,
2020/21,8357331,320,North Lanarkshire,Greenfaulds High School,Secondary,S4,Authorised Absence,4.6%,
2020/21,8357331,320,North Lanarkshire,Greenfaulds High School,Secondary,S4,Temporary Exclusions,0.1%,
2020/21,8357331,320,North Lanarkshire,Greenfaulds High School,Secondary,S4,Unauthorised Absence,10.1%,
2020/21,8357331,320,North Lanarkshire,Greenfaulds High School,Secondary,S5,Attendance,82.7%,
2020/21,8357331,320,North Lanarkshire,Greenfaulds High School,Secondary,S5,Authorised Absence,4.5%,
2020/21,8357331,320,North Lanarkshire,Greenfaulds High School,Secondary,S5,Temporary Exclusions,0%,
2020/21,8357331,320,North Lanarkshire,Greenfaulds High School,Secondary,S5,Unauthorised Absence,12.8%,
2020/21,8357331,320,North Lanarkshire,Greenfaulds High School,Secondary,S6,Attendance,87.9%,
2020/21,8357331,320,North Lanarkshire,Greenfaulds High School,Secondary,S6,Authorised Absence,3.9%,
2020/21,8357331,320,North Lanarkshire,Greenfaulds High School,Secondary,S6,Temporary Exclusions,0%,
2020/21,8357331,320,North Lanarkshire,Greenfaulds High School,Secondary,S6,Unauthorised Absence,8.2%,
2020/21,8357439,320,North Lanarkshire,Our Lady's High School - Cumbernauld,Secondary,All Stages,Attendance,86.9%,
2020/21,8357439,320,North Lanarkshire,Our Lady's High School - Cumbernauld,Secondary,All Stages,Authorised Absence,5.5%,
2020/21,8357439,320,North Lanarkshire,Our Lady's High School - Cumbernauld,Secondary,All Stages,Temporary Exclusions,0%,
2020/21,8357439,320,North Lanarkshire,Our Lady's High School - Cumbernauld,Secondary,All Stages,Unauthorised Absence,7.6%,
2020/21,8357439,320,North Lanarkshire,Our Lady's High School - Cumbernauld,Secondary,S1,Attendance,90%,
2020/21,8357439,320,North Lanarkshire,Our Lady's High School - Cumbernauld,Secondary,S1,Authorised Absence,5.4%,
2020/21,8357439,320,North Lanarkshire,Our Lady's High School - Cumbernauld,Secondary,S1,Temporary Exclusions,0%,
2020/21,8357439,320,North Lanarkshire,Our Lady's High School - Cumbernauld,Secondary,S1,Unauthorised Absence,4.7%,
2020/21,8357439,320,North Lanarkshire,Our Lady's High School - Cumbernauld,Secondary,S2,Attendance,87.7%,
2020/21,8357439,320,North Lanarkshire,Our Lady's High School - Cumbernauld,Secondary,S2,Authorised Absence,5.5%,
2020/21,8357439,320,North Lanarkshire,Our Lady's High School - Cumbernauld,Secondary,S2,Temporary Exclusions,0%,
2020/21,8357439,320,North Lanarkshire,Our Lady's High School - Cumbernauld,Secondary,S2,Unauthorised Absence,6.8%,
2020/21,8357439,320,North Lanarkshire,Our Lady's High School - Cumbernauld,Secondary,S3,Attendance,85.7%,
2020/21,8357439,320,North Lanarkshire,Our Lady's High School - Cumbernauld,Secondary,S3,Authorised Absence,6.9%,
2020/21,8357439,320,North Lanarkshire,Our Lady's High School - Cumbernauld,Secondary,S3,Temporary Exclusions,0%,
2020/21,8357439,320,North Lanarkshire,Our Lady's High School - Cumbernauld,Secondary,S3,Unauthorised Absence,7.5%,
2020/21,8357439,320,North Lanarkshire,Our Lady's High School - Cumbernauld,Secondary,S4,Attendance,87.1%,
2020/21,8357439,320,North Lanarkshire,Our Lady's High School - Cumbernauld,Secondary,S4,Authorised Absence,5.3%,
2020/21,8357439,320,North Lanarkshire,Our Lady's High School - Cumbernauld,Secondary,S4,Temporary Exclusions,0%,
2020/21,8357439,320,North Lanarkshire,Our Lady's High School - Cumbernauld,Secondary,S4,Unauthorised Absence,7.5%,
2020/21,8357439,320,North Lanarkshire,Our Lady's High School - Cumbernauld,Secondary,S5,Attendance,85.9%,
2020/21,8357439,320,North Lanarkshire,Our Lady's High School - Cumbernauld,Secondary,S5,Authorised Absence,5.4%,
2020/21,8357439,320,North Lanarkshire,Our Lady's High School - Cumbernauld,Secondary,S5,Temporary Exclusions,0%,
2020/21,8357439,320,North Lanarkshire,Our Lady's High School - Cumbernauld,Secondary,S5,Unauthorised Absence,8.8%,
2020/21,8357439,320,North Lanarkshire,Our Lady's High School - Cumbernauld,Secondary,S6,Attendance,84%,
2020/21,8357439,320,North Lanarkshire,Our Lady's High School - Cumbernauld,Secondary,S6,Authorised Absence,3.8%,
2020/21,8357439,320,North Lanarkshire,Our Lady's High School - Cumbernauld,Secondary,S6,Temporary Exclusions,0%,
2020/21,8357439,320,North Lanarkshire,Our Lady's High School - Cumbernauld,Secondary,S6,Unauthorised Absence,12.2%,
2020/21,8358532,320,North Lanarkshire,Kilsyth Academy,Secondary,All Stages,Attendance,89.5%,
2020/21,8358532,320,North Lanarkshire,Kilsyth Academy,Secondary,All Stages,Authorised Absence,5.4%,
2020/21,8358532,320,North Lanarkshire,Kilsyth Academy,Secondary,All Stages,Temporary Exclusions,0.1%,
2020/21,8358532,320,North Lanarkshire,Kilsyth Academy,Secondary,All Stages,Unauthorised Absence,5%,
2020/21,8358532,320,North Lanarkshire,Kilsyth Academy,Secondary,S1,Attendance,91.8%,
2020/21,8358532,320,North Lanarkshire,Kilsyth Academy,Secondary,S1,Authorised Absence,5.5%,
2020/21,8358532,320,North Lanarkshire,Kilsyth Academy,Secondary,S1,Temporary Exclusions,c,c
2020/21,8358532,320,North Lanarkshire,Kilsyth Academy,Secondary,S1,Unauthorised Absence,c,c
2020/21,8358532,320,North Lanarkshire,Kilsyth Academy,Secondary,S2,Attendance,88.8%,
2020/21,8358532,320,North Lanarkshire,Kilsyth Academy,Secondary,S2,Authorised Absence,6%,
2020/21,8358532,320,North Lanarkshire,Kilsyth Academy,Secondary,S2,Temporary Exclusions,c,c
2020/21,8358532,320,North Lanarkshire,Kilsyth Academy,Secondary,S2,Unauthorised Absence,c,c
2020/21,8358532,320,North Lanarkshire,Kilsyth Academy,Secondary,S3,Attendance,88.5%,
2020/21,8358532,320,North Lanarkshire,Kilsyth Academy,Secondary,S3,Authorised Absence,6.4%,
2020/21,8358532,320,North Lanarkshire,Kilsyth Academy,Secondary,S3,Temporary Exclusions,c,c
2020/21,8358532,320,North Lanarkshire,Kilsyth Academy,Secondary,S3,Unauthorised Absence,c,c
2020/21,8358532,320,North Lanarkshire,Kilsyth Academy,Secondary,S4,Attendance,87.4%,
2020/21,8358532,320,North Lanarkshire,Kilsyth Academy,Secondary,S4,Authorised Absence,4.8%,
2020/21,8358532,320,North Lanarkshire,Kilsyth Academy,Secondary,S4,Temporary Exclusions,0.2%,
2020/21,8358532,320,North Lanarkshire,Kilsyth Academy,Secondary,S4,Unauthorised Absence,7.6%,
2020/21,8358532,320,North Lanarkshire,Kilsyth Academy,Secondary,S5,Attendance,89.3%,
2020/21,8358532,320,North Lanarkshire,Kilsyth Academy,Secondary,S5,Authorised Absence,5.2%,
2020/21,8358532,320,North Lanarkshire,Kilsyth Academy,Secondary,S5,Temporary Exclusions,0%,
2020/21,8358532,320,North Lanarkshire,Kilsyth Academy,Secondary,S5,Unauthorised Absence,5.4%,
2020/21,8358532,320,North Lanarkshire,Kilsyth Academy,Secondary,S6,Attendance,92.7%,
2020/21,8358532,320,North Lanarkshire,Kilsyth Academy,Secondary,S6,Authorised Absence,3.9%,
2020/21,8358532,320,North Lanarkshire,Kilsyth Academy,Secondary,S6,Temporary Exclusions,c,c
2020/21,8358532,320,North Lanarkshire,Kilsyth Academy,Secondary,S6,Unauthorised Absence,c,c
2020/21,8358931,320,North Lanarkshire,St Maurice's High School,Secondary,All Stages,Attendance,88.1%,
2020/21,8358931,320,North Lanarkshire,St Maurice's High School,Secondary,All Stages,Authorised Absence,6.9%,
2020/21,8358931,320,North Lanarkshire,St Maurice's High School,Secondary,All Stages,Temporary Exclusions,0%,
2020/21,8358931,320,North Lanarkshire,St Maurice's High School,Secondary,All Stages,Unauthorised Absence,5%,
2020/21,8358931,320,North Lanarkshire,St Maurice's High School,Secondary,S1,Attendance,90.2%,
2020/21,8358931,320,North Lanarkshire,St Maurice's High School,Secondary,S1,Authorised Absence,6.5%,
2020/21,8358931,320,North Lanarkshire,St Maurice's High School,Secondary,S1,Temporary Exclusions,c,c
2020/21,8358931,320,North Lanarkshire,St Maurice's High School,Secondary,S1,Unauthorised Absence,c,c
2020/21,8358931,320,North Lanarkshire,St Maurice's High School,Secondary,S2,Attendance,88.2%,
2020/21,8358931,320,North Lanarkshire,St Maurice's High School,Secondary,S2,Authorised Absence,9.8%,
2020/21,8358931,320,North Lanarkshire,St Maurice's High School,Secondary,S2,Temporary Exclusions,0%,
2020/21,8358931,320,North Lanarkshire,St Maurice's High School,Secondary,S2,Unauthorised Absence,2%,
2020/21,8358931,320,North Lanarkshire,St Maurice's High School,Secondary,S3,Attendance,87.7%,
2020/21,8358931,320,North Lanarkshire,St Maurice's High School,Secondary,S3,Authorised Absence,c,c
2020/21,8358931,320,North Lanarkshire,St Maurice's High School,Secondary,S3,Temporary Exclusions,c,c
2020/21,8358931,320,North Lanarkshire,St Maurice's High School,Secondary,S3,Unauthorised Absence,c,c
2020/21,8358931,320,North Lanarkshire,St Maurice's High School,Secondary,S4,Attendance,86.6%,
2020/21,8358931,320,North Lanarkshire,St Maurice's High School,Secondary,S4,Authorised Absence,c,c
2020/21,8358931,320,North Lanarkshire,St Maurice's High School,Secondary,S4,Temporary Exclusions,c,c
2020/21,8358931,320,North Lanarkshire,St Maurice's High School,Secondary,S4,Unauthorised Absence,8.2%,
2020/21,8358931,320,North Lanarkshire,St Maurice's High School,Secondary,S5,Attendance,87.9%,
2020/21,8358931,320,North Lanarkshire,St Maurice's High School,Secondary,S5,Authorised Absence,6.6%,
2020/21,8358931,320,North Lanarkshire,St Maurice's High School,Secondary,S5,Temporary Exclusions,c,c
2020/21,8358931,320,North Lanarkshire,St Maurice's High School,Secondary,S5,Unauthorised Absence,c,c
2020/21,8358931,320,North Lanarkshire,St Maurice's High School,Secondary,S6,Attendance,88.2%,
2020/21,8358931,320,North Lanarkshire,St Maurice's High School,Secondary,S6,Authorised Absence,5.2%,
2020/21,8358931,320,North Lanarkshire,St Maurice's High School,Secondary,S6,Temporary Exclusions,0%,
2020/21,8358931,320,North Lanarkshire,St Maurice's High School,Secondary,S6,Unauthorised Absence,6.6%,
2020/21,8431639,260,Glasgow City,Springburn Academy,Secondary,All Stages,Attendance,85%,
2020/21,8431639,260,Glasgow City,Springburn Academy,Secondary,All Stages,Authorised Absence,4.7%,
2020/21,8431639,260,Glasgow City,Springburn Academy,Secondary,All Stages,Temporary Exclusions,0%,
2020/21,8431639,260,Glasgow City,Springburn Academy,Secondary,All Stages,Unauthorised Absence,10.3%,
2020/21,8431639,260,Glasgow City,Springburn Academy,Secondary,S1,Attendance,87.5%,
2020/21,8431639,260,Glasgow City,Springburn Academy,Secondary,S1,Authorised Absence,5.1%,
2020/21,8431639,260,Glasgow City,Springburn Academy,Secondary,S1,Temporary Exclusions,0%,
2020/21,8431639,260,Glasgow City,Springburn Academy,Secondary,S1,Unauthorised Absence,7.3%,
2020/21,8431639,260,Glasgow City,Springburn Academy,Secondary,S2,Attendance,82%,
2020/21,8431639,260,Glasgow City,Springburn Academy,Secondary,S2,Authorised Absence,c,c
2020/21,8431639,260,Glasgow City,Springburn Academy,Secondary,S2,Temporary Exclusions,c,c
2020/21,8431639,260,Glasgow City,Springburn Academy,Secondary,S2,Unauthorised Absence,11.4%,
2020/21,8431639,260,Glasgow City,Springburn Academy,Secondary,S3,Attendance,80.8%,
2020/21,8431639,260,Glasgow City,Springburn Academy,Secondary,S3,Authorised Absence,c,c
2020/21,8431639,260,Glasgow City,Springburn Academy,Secondary,S3,Temporary Exclusions,c,c
2020/21,8431639,260,Glasgow City,Springburn Academy,Secondary,S3,Unauthorised Absence,13.8%,
2020/21,8431639,260,Glasgow City,Springburn Academy,Secondary,S4,Attendance,84.8%,
2020/21,8431639,260,Glasgow City,Springburn Academy,Secondary,S4,Authorised Absence,3.5%,
2020/21,8431639,260,Glasgow City,Springburn Academy,Secondary,S4,Temporary Exclusions,0%,
2020/21,8431639,260,Glasgow City,Springburn Academy,Secondary,S4,Unauthorised Absence,11.7%,
2020/21,8431639,260,Glasgow City,Springburn Academy,Secondary,S5,Attendance,87.1%,
2020/21,8431639,260,Glasgow City,Springburn Academy,Secondary,S5,Authorised Absence,3.9%,
2020/21,8431639,260,Glasgow City,Springburn Academy,Secondary,S5,Temporary Exclusions,0%,
2020/21,8431639,260,Glasgow City,Springburn Academy,Secondary,S5,Unauthorised Absence,9.1%,
2020/21,8431639,260,Glasgow City,Springburn Academy,Secondary,S6,Attendance,90.2%,
2020/21,8431639,260,Glasgow City,Springburn Academy,Secondary,S6,Authorised Absence,2.7%,
2020/21,8431639,260,Glasgow City,Springburn Academy,Secondary,S6,Temporary Exclusions,0%,
2020/21,8431639,260,Glasgow City,Springburn Academy,Secondary,S6,Unauthorised Absence,7.1%,
2020/21,8431930,260,Glasgow City,All Saints Secondary School,Secondary,All Stages,Attendance,89.2%,
2020/21,8431930,260,Glasgow City,All Saints Secondary School,Secondary,All Stages,Authorised Absence,4%,
2020/21,8431930,260,Glasgow City,All Saints Secondary School,Secondary,All Stages,Temporary Exclusions,0%,
2020/21,8431930,260,Glasgow City,All Saints Secondary School,Secondary,All Stages,Unauthorised Absence,6.9%,
2020/21,8431930,260,Glasgow City,All Saints Secondary School,Secondary,S1,Attendance,93.4%,
2020/21,8431930,260,Glasgow City,All Saints Secondary School,Secondary,S1,Authorised Absence,3.9%,
2020/21,8431930,260,Glasgow City,All Saints Secondary School,Secondary,S1,Temporary Exclusions,c,c
2020/21,8431930,260,Glasgow City,All Saints Secondary School,Secondary,S1,Unauthorised Absence,c,c
2020/21,8431930,260,Glasgow City,All Saints Secondary School,Secondary,S2,Attendance,87.4%,
2020/21,8431930,260,Glasgow City,All Saints Secondary School,Secondary,S2,Authorised Absence,c,c
2020/21,8431930,260,Glasgow City,All Saints Secondary School,Secondary,S2,Temporary Exclusions,c,c
2020/21,8431930,260,Glasgow City,All Saints Secondary School,Secondary,S2,Unauthorised Absence,c,c
2020/21,8431930,260,Glasgow City,All Saints Secondary School,Secondary,S3,Attendance,87.5%,
2020/21,8431930,260,Glasgow City,All Saints Secondary School,Secondary,S3,Authorised Absence,c,c
2020/21,8431930,260,Glasgow City,All Saints Secondary School,Secondary,S3,Temporary Exclusions,c,c
2020/21,8431930,260,Glasgow City,All Saints Secondary School,Secondary,S3,Unauthorised Absence,7.4%,
2020/21,8431930,260,Glasgow City,All Saints Secondary School,Secondary,S4,Attendance,88.6%,
2020/21,8431930,260,Glasgow City,All Saints Secondary School,Secondary,S4,Authorised Absence,c,c
2020/21,8431930,260,Glasgow City,All Saints Secondary School,Secondary,S4,Temporary Exclusions,c,c
2020/21,8431930,260,Glasgow City,All Saints Secondary School,Secondary,S4,Unauthorised Absence,7.9%,
2020/21,8431930,260,Glasgow City,All Saints Secondary School,Secondary,S5,Attendance,89.3%,
2020/21,8431930,260,Glasgow City,All Saints Secondary School,Secondary,S5,Authorised Absence,2.1%,
2020/21,8431930,260,Glasgow City,All Saints Secondary School,Secondary,S5,Temporary Exclusions,0%,
2020/21,8431930,260,Glasgow City,All Saints Secondary School,Secondary,S5,Unauthorised Absence,8.6%,
2020/21,8431930,260,Glasgow City,All Saints Secondary School,Secondary,S6,Attendance,88.4%,
2020/21,8431930,260,Glasgow City,All Saints Secondary School,Secondary,S6,Authorised Absence,3.1%,
2020/21,8431930,260,Glasgow City,All Saints Secondary School,Secondary,S6,Temporary Exclusions,0%,
2020/21,8431930,260,Glasgow City,All Saints Secondary School,Secondary,S6,Unauthorised Absence,8.5%,
2020/21,8432031,260,Glasgow City,Bellahouston Academy,Secondary,All Stages,Attendance,86.6%,
2020/21,8432031,260,Glasgow City,Bellahouston Academy,Secondary,All Stages,Authorised Absence,13.1%,
2020/21,8432031,260,Glasgow City,Bellahouston Academy,Secondary,All Stages,Temporary Exclusions,0%,
2020/21,8432031,260,Glasgow City,Bellahouston Academy,Secondary,All Stages,Unauthorised Absence,0.3%,
2020/21,8432031,260,Glasgow City,Bellahouston Academy,Secondary,S1,Attendance,86.9%,
2020/21,8432031,260,Glasgow City,Bellahouston Academy,Secondary,S1,Authorised Absence,12.6%,
2020/21,8432031,260,Glasgow City,Bellahouston Academy,Secondary,S1,Temporary Exclusions,c,c
2020/21,8432031,260,Glasgow City,Bellahouston Academy,Secondary,S1,Unauthorised Absence,c,c
2020/21,8432031,260,Glasgow City,Bellahouston Academy,Secondary,S2,Attendance,85.7%,
2020/21,8432031,260,Glasgow City,Bellahouston Academy,Secondary,S2,Authorised Absence,13.9%,
2020/21,8432031,260,Glasgow City,Bellahouston Academy,Secondary,S2,Temporary Exclusions,c,c
2020/21,8432031,260,Glasgow City,Bellahouston Academy,Secondary,S2,Unauthorised Absence,c,c
2020/21,8432031,260,Glasgow City,Bellahouston Academy,Secondary,S3,Attendance,84.4%,
2020/21,8432031,260,Glasgow City,Bellahouston Academy,Secondary,S3,Authorised Absence,15.2%,
2020/21,8432031,260,Glasgow City,Bellahouston Academy,Secondary,S3,Temporary Exclusions,0%,
2020/21,8432031,260,Glasgow City,Bellahouston Academy,Secondary,S3,Unauthorised Absence,0.4%,
2020/21,8432031,260,Glasgow City,Bellahouston Academy,Secondary,S4,Attendance,86.6%,
2020/21,8432031,260,Glasgow City,Bellahouston Academy,Secondary,S4,Authorised Absence,13.2%,
2020/21,8432031,260,Glasgow City,Bellahouston Academy,Secondary,S4,Temporary Exclusions,0%,
2020/21,8432031,260,Glasgow City,Bellahouston Academy,Secondary,S4,Unauthorised Absence,0.3%,
2020/21,8432031,260,Glasgow City,Bellahouston Academy,Secondary,S5,Attendance,88.6%,
2020/21,8432031,260,Glasgow City,Bellahouston Academy,Secondary,S5,Authorised Absence,11.3%,
2020/21,8432031,260,Glasgow City,Bellahouston Academy,Secondary,S5,Temporary Exclusions,0%,
2020/21,8432031,260,Glasgow City,Bellahouston Academy,Secondary,S5,Unauthorised Absence,0.2%,
2020/21,8432031,260,Glasgow City,Bellahouston Academy,Secondary,S6,Attendance,88.2%,
2020/21,8432031,260,Glasgow City,Bellahouston Academy,Secondary,S6,Authorised Absence,11.6%,
2020/21,8432031,260,Glasgow City,Bellahouston Academy,Secondary,S6,Temporary Exclusions,0%,
2020/21,8432031,260,Glasgow City,Bellahouston Academy,Secondary,S6,Unauthorised Absence,0.2%,
2020/21,8432139,260,Glasgow City,St Paul's High School,Secondary,All Stages,Attendance,86.5%,
2020/21,8432139,260,Glasgow City,St Paul's High School,Secondary,All Stages,Authorised Absence,c,c
2020/21,8432139,260,Glasgow City,St Paul's High School,Secondary,All Stages,Temporary Exclusions,c,c
2020/21,8432139,260,Glasgow City,St Paul's High School,Secondary,All Stages,Unauthorised Absence,10.6%,
2020/21,8432139,260,Glasgow City,St Paul's High School,Secondary,S1,Attendance,88.2%,
2020/21,8432139,260,Glasgow City,St Paul's High School,Secondary,S1,Authorised Absence,c,c
2020/21,8432139,260,Glasgow City,St Paul's High School,Secondary,S1,Temporary Exclusions,c,c
2020/21,8432139,260,Glasgow City,St Paul's High School,Secondary,S1,Unauthorised Absence,8.2%,
2020/21,8432139,260,Glasgow City,St Paul's High School,Secondary,S2,Attendance,86.6%,
2020/21,8432139,260,Glasgow City,St Paul's High School,Secondary,S2,Authorised Absence,c,c
2020/21,8432139,260,Glasgow City,St Paul's High School,Secondary,S2,Temporary Exclusions,c,c
2020/21,8432139,260,Glasgow City,St Paul's High School,Secondary,S2,Unauthorised Absence,10.3%,
2020/21,8432139,260,Glasgow City,St Paul's High School,Secondary,S3,Attendance,84.9%,
2020/21,8432139,260,Glasgow City,St Paul's High School,Secondary,S3,Authorised Absence,2.9%,
2020/21,8432139,260,Glasgow City,St Paul's High School,Secondary,S3,Temporary Exclusions,0%,
2020/21,8432139,260,Glasgow City,St Paul's High School,Secondary,S3,Unauthorised Absence,12.2%,
2020/21,8432139,260,Glasgow City,St Paul's High School,Secondary,S4,Attendance,83.7%,
2020/21,8432139,260,Glasgow City,St Paul's High School,Secondary,S4,Authorised Absence,2.6%,
2020/21,8432139,260,Glasgow City,St Paul's High School,Secondary,S4,Temporary Exclusions,0%,
2020/21,8432139,260,Glasgow City,St Paul's High School,Secondary,S4,Unauthorised Absence,13.7%,
2020/21,8432139,260,Glasgow City,St Paul's High School,Secondary,S5,Attendance,88.2%,
2020/21,8432139,260,Glasgow City,St Paul's High School,Secondary,S5,Authorised Absence,2.4%,
2020/21,8432139,260,Glasgow City,St Paul's High School,Secondary,S5,Temporary Exclusions,0%,
2020/21,8432139,260,Glasgow City,St Paul's High School,Secondary,S5,Unauthorised Absence,9.3%,
