year,seed_code,la_code,la_name,school_name,school_type,stage,measure,value,chart_label
2010/11,5903130,170,Dumfries & Galloway,Stranraer Academy,Secondary,All Stages,Unauthorised Absence,4.1%,
2010/11,5918030,170,Dumfries & Galloway,Castle Douglas High School,Secondary,All Stages,Attendance,94%,
2010/11,5918030,170,Dumfries & Galloway,Castle Douglas High School,Secondary,All Stages,Authorised Absence,5.3%,
2010/11,5918030,170,Dumfries & Galloway,Castle Douglas High School,Secondary,All Stages,Temporary Exclusions,z,z
2010/11,5918030,170,Dumfries & Galloway,Castle Douglas High School,Secondary,All Stages,Unauthorised Absence,0.7%,
2010/11,5918138,170,Dumfries & Galloway,Dalbeattie High School,Secondary,All Stages,Attendance,93.9%,
2010/11,5918138,170,Dumfries & Galloway,Dalbeattie High School,Secondary,All Stages,Authorised Absence,4%,
2010/11,5918138,170,Dumfries & Galloway,Dalbeattie High School,Secondary,All Stages,Temporary Exclusions,z,z
2010/11,5918138,170,Dumfries & Galloway,Dalbeattie High School,Secondary,All Stages,Unauthorised Absence,2%,
2010/11,5918332,170,Dumfries & Galloway,Dalry Secondary School,Secondary,All Stages,Attendance,95.2%,
2010/11,5918332,170,Dumfries & Galloway,Dalry Secondary School,Secondary,All Stages,Authorised Absence,4.3%,
2010/11,5918332,170,Dumfries & Galloway,Dalry Secondary School,Secondary,All Stages,Temporary Exclusions,z,z
2010/11,5918332,170,Dumfries & Galloway,Dalry Secondary School,Secondary,All Stages,Unauthorised Absence,0.5%,
2010/11,5918731,170,Dumfries & Galloway,Kirkcudbright Academy,Secondary,All Stages,Attendance,92.2%,
2010/11,5918731,170,Dumfries & Galloway,Kirkcudbright Academy,Secondary,All Stages,Authorised Absence,6.2%,
2010/11,5918731,170,Dumfries & Galloway,Kirkcudbright Academy,Secondary,All Stages,Temporary Exclusions,z,z
2010/11,5918731,170,Dumfries & Galloway,Kirkcudbright Academy,Secondary,All Stages,Unauthorised Absence,1.5%,
2010/11,5939038,170,Dumfries & Galloway,Dumfries Academy,Secondary,All Stages,Attendance,92%,
2010/11,5939038,170,Dumfries & Galloway,Dumfries Academy,Secondary,All Stages,Authorised Absence,5.4%,
2010/11,5939038,170,Dumfries & Galloway,Dumfries Academy,Secondary,All Stages,Temporary Exclusions,z,z
2010/11,5939038,170,Dumfries & Galloway,Dumfries Academy,Secondary,All Stages,Unauthorised Absence,2.5%,
2010/11,5939232,170,Dumfries & Galloway,Dumfries High School,Secondary,All Stages,Attendance,94.5%,
2010/11,5939232,170,Dumfries & Galloway,Dumfries High School,Secondary,All Stages,Authorised Absence,3.9%,
2010/11,5939232,170,Dumfries & Galloway,Dumfries High School,Secondary,All Stages,Temporary Exclusions,z,z
2010/11,5939232,170,Dumfries & Galloway,Dumfries High School,Secondary,All Stages,Unauthorised Absence,1.5%,
2010/11,5939631,170,Dumfries & Galloway,Sanquhar Academy,Secondary,All Stages,Attendance,93.1%,
2010/11,5939631,170,Dumfries & Galloway,Sanquhar Academy,Secondary,All Stages,Authorised Absence,5.2%,
2010/11,5939631,170,Dumfries & Galloway,Sanquhar Academy,Secondary,All Stages,Temporary Exclusions,z,z
2010/11,5939631,170,Dumfries & Galloway,Sanquhar Academy,Secondary,All Stages,Unauthorised Absence,1.5%,
2010/11,5939739,170,Dumfries & Galloway,Wallace Hall Academy,Secondary,All Stages,Attendance,94.4%,
2010/11,5939739,170,Dumfries & Galloway,Wallace Hall Academy,Secondary,All Stages,Authorised Absence,4.9%,
2010/11,5939739,170,Dumfries & Galloway,Wallace Hall Academy,Secondary,All Stages,Temporary Exclusions,z,z
2010/11,5939739,170,Dumfries & Galloway,Wallace Hall Academy,Secondary,All Stages,Unauthorised Absence,0.7%,
2010/11,5941032,170,Dumfries & Galloway,St Joseph's College,Secondary,All Stages,Attendance,93.3%,
2010/11,5941032,170,Dumfries & Galloway,St Joseph's College,Secondary,All Stages,Authorised Absence,5.6%,
2010/11,5941032,170,Dumfries & Galloway,St Joseph's College,Secondary,All Stages,Temporary Exclusions,z,z
2010/11,5941032,170,Dumfries & Galloway,St Joseph's College,Secondary,All Stages,Unauthorised Absence,1%,
2010/11,5948339,170,Dumfries & Galloway,Annan Academy,Secondary,All Stages,Attendance,92.4%,
2010/11,5948339,170,Dumfries & Galloway,Annan Academy,Secondary,All Stages,Authorised Absence,6.3%,
2010/11,5948339,170,Dumfries & Galloway,Annan Academy,Secondary,All Stages,Temporary Exclusions,z,z
2010/11,5948339,170,Dumfries & Galloway,Annan Academy,Secondary,All Stages,Unauthorised Absence,1.1%,
2010/11,5948533,170,Dumfries & Galloway,Langholm Academy,Secondary,All Stages,Attendance,94.5%,
2010/11,5948533,170,Dumfries & Galloway,Langholm Academy,Secondary,All Stages,Authorised Absence,4.9%,
2010/11,5948533,170,Dumfries & Galloway,Langholm Academy,Secondary,All Stages,Temporary Exclusions,z,z
2010/11,5948533,170,Dumfries & Galloway,Langholm Academy,Secondary,All Stages,Unauthorised Absence,0.6%,
2010/11,5948630,170,Dumfries & Galloway,Lockerbie Academy,Secondary,All Stages,Attendance,93%,
2010/11,5948630,170,Dumfries & Galloway,Lockerbie Academy,Secondary,All Stages,Authorised Absence,5.6%,
2010/11,5948630,170,Dumfries & Galloway,Lockerbie Academy,Secondary,All Stages,Temporary Exclusions,z,z
2010/11,5948630,170,Dumfries & Galloway,Lockerbie Academy,Secondary,All Stages,Unauthorised Absence,1.3%,
2010/11,5948738,170,Dumfries & Galloway,Moffat Academy,Secondary,All Stages,Attendance,93.1%,
2010/11,5948738,170,Dumfries & Galloway,Moffat Academy,Secondary,All Stages,Authorised Absence,6.3%,
2010/11,5948738,170,Dumfries & Galloway,Moffat Academy,Secondary,All Stages,Temporary Exclusions,z,z
2010/11,5948738,170,Dumfries & Galloway,Moffat Academy,Secondary,All Stages,Unauthorised Absence,0.6%,
2010/11,6002730,330,Orkney Islands,Kirkwall Grammar School,Secondary,All Stages,Attendance,90.2%,
2010/11,6002730,330,Orkney Islands,Kirkwall Grammar School,Secondary,All Stages,Authorised Absence,6.5%,
2010/11,6002730,330,Orkney Islands,Kirkwall Grammar School,Secondary,All Stages,Temporary Exclusions,z,z
2010/11,6002730,330,Orkney Islands,Kirkwall Grammar School,Secondary,All Stages,Unauthorised Absence,3.2%,
2010/11,6003036,330,Orkney Islands,Westray Junior High School,Secondary,All Stages,Attendance,95.8%,
2010/11,6003036,330,Orkney Islands,Westray Junior High School,Secondary,All Stages,Authorised Absence,3.2%,
2010/11,6003036,330,Orkney Islands,Westray Junior High School,Secondary,All Stages,Temporary Exclusions,z,z
2010/11,6003036,330,Orkney Islands,Westray Junior High School,Secondary,All Stages,Unauthorised Absence,1%,
2010/11,6003230,330,Orkney Islands,Sanday Community School,Secondary,All Stages,Attendance,94.8%,
2010/11,6003230,330,Orkney Islands,Sanday Community School,Secondary,All Stages,Authorised Absence,3.5%,
2010/11,6003230,330,Orkney Islands,Sanday Community School,Secondary,All Stages,Temporary Exclusions,z,z
2010/11,6003230,330,Orkney Islands,Sanday Community School,Secondary,All Stages,Unauthorised Absence,1.7%,
2010/11,6003532,330,Orkney Islands,Stromness Academy,Secondary,All Stages,Attendance,90.8%,
2010/11,6003532,330,Orkney Islands,Stromness Academy,Secondary,All Stages,Authorised Absence,6.2%,
2010/11,6003532,330,Orkney Islands,Stromness Academy,Secondary,All Stages,Temporary Exclusions,z,z
2010/11,6003532,330,Orkney Islands,Stromness Academy,Secondary,All Stages,Unauthorised Absence,3%,
2010/11,6003834,330,Orkney Islands,Stronsay Junior High School,Secondary,All Stages,Attendance,95.7%,
2010/11,6003834,330,Orkney Islands,Stronsay Junior High School,Secondary,All Stages,Authorised Absence,3.6%,
2010/11,6003834,330,Orkney Islands,Stronsay Junior High School,Secondary,All Stages,Temporary Exclusions,z,z
2010/11,6003834,330,Orkney Islands,Stronsay Junior High School,Secondary,All Stages,Unauthorised Absence,0.7%,
2010/11,6103030,360,Shetland Islands,Aith Junior High School,Secondary,All Stages,Attendance,95.2%,
2010/11,6103030,360,Shetland Islands,Aith Junior High School,Secondary,All Stages,Authorised Absence,4.1%,
2010/11,6103030,360,Shetland Islands,Aith Junior High School,Secondary,All Stages,Temporary Exclusions,z,z
2010/11,6103030,360,Shetland Islands,Aith Junior High School,Secondary,All Stages,Unauthorised Absence,0.7%,
2010/11,6103138,360,Shetland Islands,Baltasound Junior High School,Secondary,All Stages,Attendance,93.7%,
2010/11,6103138,360,Shetland Islands,Baltasound Junior High School,Secondary,All Stages,Authorised Absence,6.3%,
2010/11,6103138,360,Shetland Islands,Baltasound Junior High School,Secondary,All Stages,Temporary Exclusions,z,z
2010/11,6103138,360,Shetland Islands,Baltasound Junior High School,Secondary,All Stages,Unauthorised Absence,c,c
2010/11,6103332,360,Shetland Islands,Brae High School,Secondary,All Stages,Attendance,90.1%,
2010/11,6103332,360,Shetland Islands,Brae High School,Secondary,All Stages,Authorised Absence,8.5%,
2010/11,6103332,360,Shetland Islands,Brae High School,Secondary,All Stages,Temporary Exclusions,z,z
2010/11,6103332,360,Shetland Islands,Brae High School,Secondary,All Stages,Unauthorised Absence,1.3%,
2010/11,6103634,360,Shetland Islands,Anderson High School,Secondary,All Stages,Attendance,93.2%,
2010/11,6103634,360,Shetland Islands,Anderson High School,Secondary,All Stages,Authorised Absence,6.3%,
2010/11,6103634,360,Shetland Islands,Anderson High School,Secondary,All Stages,Temporary Exclusions,z,z
2010/11,6103634,360,Shetland Islands,Anderson High School,Secondary,All Stages,Unauthorised Absence,0.5%,
2010/11,6103731,360,Shetland Islands,Mid Yell Junior High School,Secondary,All Stages,Attendance,91.6%,
2010/11,6103731,360,Shetland Islands,Mid Yell Junior High School,Secondary,All Stages,Authorised Absence,5.9%,
2010/11,6103731,360,Shetland Islands,Mid Yell Junior High School,Secondary,All Stages,Temporary Exclusions,z,z
2010/11,6103731,360,Shetland Islands,Mid Yell Junior High School,Secondary,All Stages,Unauthorised Absence,2.5%,
2010/11,6103839,360,Shetland Islands,Sandwick Junior High School,Secondary,All Stages,Attendance,94.5%,
2010/11,6103839,360,Shetland Islands,Sandwick Junior High School,Secondary,All Stages,Authorised Absence,4.8%,
2010/11,6103839,360,Shetland Islands,Sandwick Junior High School,Secondary,All Stages,Temporary Exclusions,z,z
2010/11,6103839,360,Shetland Islands,Sandwick Junior High School,Secondary,All Stages,Unauthorised Absence,0.7%,
2010/11,6104134,360,Shetland Islands,Whalsay School,Secondary,All Stages,Attendance,93.9%,
2010/11,6104134,360,Shetland Islands,Whalsay School,Secondary,All Stages,Authorised Absence,5.7%,
2010/11,6104134,360,Shetland Islands,Whalsay School,Secondary,All Stages,Temporary Exclusions,z,z
2010/11,6104134,360,Shetland Islands,Whalsay School,Secondary,All Stages,Unauthorised Absence,0.4%,
2010/11,6203132,235,Na h-Eileanan Siar,Castlebay School,Secondary,All Stages,Attendance,92.5%,
2010/11,6203132,235,Na h-Eileanan Siar,Castlebay School,Secondary,All Stages,Authorised Absence,6.4%,
2010/11,6203132,235,Na h-Eileanan Siar,Castlebay School,Secondary,All Stages,Temporary Exclusions,z,z
2010/11,6203132,235,Na h-Eileanan Siar,Castlebay School,Secondary,All Stages,Unauthorised Absence,1.1%,
2010/11,6204139,235,Na h-Eileanan Siar,Sir E Scott School,Secondary,All Stages,Attendance,95%,
2010/11,6204139,235,Na h-Eileanan Siar,Sir E Scott School,Secondary,All Stages,Authorised Absence,4.5%,
2010/11,6204139,235,Na h-Eileanan Siar,Sir E Scott School,Secondary,All Stages,Temporary Exclusions,z,z
2010/11,6204139,235,Na h-Eileanan Siar,Sir E Scott School,Secondary,All Stages,Unauthorised Absence,0.4%,
